event_id,y,m,d,h,discharge
2,1970,4,17,4,142.628873
2,1970,4,17,5,141.387609
2,1970,4,17,6,140.007977
2,1970,4,17,7,138.561971
2,1970,4,17,8,137.117332
2,1970,4,17,9,135.720517
2,1970,4,17,10,134.413678
2,1970,4,17,11,133.224481
2,1970,4,17,12,132.180819
2,1970,4,17,13,131.775916
2,1970,4,17,14,132.572193
2,1970,4,17,15,134.390632
2,1970,4,17,16,137.613212
2,1970,4,17,17,141.581721
2,1970,4,17,18,145.711548
2,1970,4,17,19,149.406933
2,1970,4,17,20,152.357399
2,1970,4,17,21,154.649553
2,1970,4,17,22,156.382879
2,1970,4,17,23,157.475082
2,1970,4,18,0,157.695709
2,1970,4,18,1,156.831635
2,1970,4,18,2,154.789187
2,1970,4,18,3,151.611301
2,1970,4,18,4,147.458158
2,1970,4,18,5,142.566553
2,1970,4,18,6,137.193482
2,1970,4,18,7,131.570729
2,1970,4,18,8,125.896780
2,1970,4,18,9,120.337178
2,1970,4,18,10,115.019723
2,1970,4,18,11,110.021930
2,1970,4,18,12,105.368377
2,1970,4,18,13,101.038799
2,1970,4,18,14,96.980492
2,1970,4,18,15,93.139930
2,1970,4,18,16,89.478837
2,1970,4,18,17,86.023587
2,1970,4,18,18,82.739598
2,1970,4,18,19,79.552729
2,1970,4,18,20,76.388199
2,1970,4,18,21,73.253477
2,1970,4,18,22,70.192698
2,1970,4,18,23,67.251976
2,1970,4,19,0,64.487583
2,1970,4,19,1,61.918352
2,1970,4,19,2,59.643151
2,1970,4,19,3,57.851368
3,1971,11,26,7,21.568396
3,1971,11,26,8,23.122584
3,1971,11,26,9,24.791813
3,1971,11,26,10,26.548358
3,1971,11,26,11,28.346386
3,1971,11,26,12,30.094385
3,1971,11,26,13,31.672023
3,1971,11,26,14,32.979049
3,1971,11,26,15,33.982588
3,1971,11,26,16,34.722218
3,1971,11,26,17,35.260891
3,1971,11,26,18,35.650960
3,1971,11,26,19,35.909686
3,1971,11,26,20,36.041096
3,1971,11,26,21,36.046659
3,1971,11,26,22,35.940082
3,1971,11,26,23,35.727179
3,1971,11,27,0,35.422011
3,1971,11,27,1,35.043578
3,1971,11,27,2,34.638861
3,1971,11,27,3,34.228552
3,1971,11,27,4,33.803712
3,1971,11,27,5,33.348743
3,1971,11,27,6,32.849773
3,1971,11,27,7,32.294582
3,1971,11,27,8,31.676147
3,1971,11,27,9,31.039422
3,1971,11,27,10,30.424832
3,1971,11,27,11,30.050071
3,1971,11,27,12,29.925323
3,1971,11,27,13,30.344876
3,1971,11,27,14,31.478888
3,1971,11,27,15,33.419778
3,1971,11,27,16,35.964705
3,1971,11,27,17,39.100721
3,1971,11,27,18,42.576309
3,1971,11,27,19,46.207011
3,1971,11,27,20,49.938096
3,1971,11,27,21,53.545531
3,1971,11,27,22,56.689873
3,1971,11,27,23,59.090818
3,1971,11,28,0,60.570646
3,1971,11,28,1,61.084786
3,1971,11,28,2,60.719054
3,1971,11,28,3,59.646782
3,1971,11,28,4,58.072339
3,1971,11,28,5,56.619712
3,1971,11,28,6,54.952691
3,1971,11,28,7,53.458511
3,1971,11,28,8,51.992678
3,1971,11,28,9,50.544188
3,1971,11,28,10,49.429091
3,1971,11,28,11,48.560424
3,1971,11,28,12,48.030690
3,1971,11,28,13,47.634095
3,1971,11,28,14,47.180106
3,1971,11,28,15,46.612894
3,1971,11,28,16,45.936009
3,1971,11,28,17,45.156683
3,1971,11,28,18,44.270652
3,1971,11,28,19,43.270210
3,1971,11,28,20,42.157768
3,1971,11,28,21,40.966955
3,1971,11,28,22,39.740778
3,1971,11,28,23,38.544042
3,1971,11,29,0,37.428065
3,1971,11,29,1,36.431856
3,1971,11,29,2,35.583916
3,1971,11,29,3,34.885550
3,1971,11,29,4,34.288671
3,1971,11,29,5,33.725825
3,1971,11,29,6,33.133281
3,1971,11,29,7,32.482169
3,1971,11,29,8,31.766362
3,1971,11,29,9,31.001405
3,1971,11,29,10,30.210438
3,1971,11,29,11,29.414726
3,1971,11,29,12,28.629880
3,1971,11,29,13,27.890228
3,1971,11,29,14,27.142947
3,1971,11,29,15,26.435287
3,1971,11,29,16,25.754882
3,1971,11,29,17,25.102394
3,1971,11,29,18,24.483335
3,1971,11,29,19,23.894183
3,1971,11,29,20,23.356910
3,1971,11,29,21,23.053305
3,1971,11,29,22,22.982393
3,1971,11,29,23,22.924031
3,1971,11,30,0,22.904841
3,1971,11,30,1,22.983542
3,1971,11,30,2,23.224389
3,1971,11,30,3,23.606735
3,1971,11,30,4,24.037321
3,1971,11,30,5,24.403540
3,1971,11,30,6,24.613083
3,1971,11,30,7,24.609328
3,1971,11,30,8,24.393969
3,1971,11,30,9,24.011478
3,1971,11,30,10,23.516605
3,1971,11,30,11,22.956914
3,1971,11,30,12,22.367703
3,1971,11,30,13,21.772515
3,1971,11,30,14,21.191413
3,1971,11,30,15,20.668371
3,1971,11,30,16,20.251990
3,1971,11,30,17,20.056764
3,1971,11,30,18,20.243705
3,1971,11,30,19,20.840669
3,1971,11,30,20,21.812982
3,1971,11,30,21,23.172854
3,1971,11,30,22,24.815482
3,1971,11,30,23,26.525819
3,1971,12,1,0,28.188619
3,1971,12,1,1,29.567866
3,1971,12,1,2,30.516730
3,1971,12,1,3,31.013791
3,1971,12,1,4,31.100862
3,1971,12,1,5,30.864905
3,1971,12,1,6,30.379022
3,1971,12,1,7,29.714569
3,1971,12,1,8,28.939408
3,1971,12,1,9,28.111194
3,1971,12,1,10,27.269797
3,1971,12,1,11,26.440135
3,1971,12,1,12,25.636051
3,1971,12,1,13,24.863710
3,1971,12,1,14,24.124880
3,1971,12,1,15,23.419332
3,1971,12,1,16,22.745733
3,1971,12,1,17,22.101929
3,1971,12,1,18,21.485634
3,1971,12,1,19,20.895045
3,1971,12,1,20,20.328922
3,1971,12,1,21,19.921401
3,1971,12,1,22,20.273256
3,1971,12,1,23,20.732602
3,1971,12,2,0,21.749607
3,1971,12,2,1,22.851838
3,1971,12,2,2,23.970326
3,1971,12,2,3,25.281498
3,1971,12,2,4,26.796249
3,1971,12,2,5,28.339161
3,1971,12,2,6,29.680895
3,1971,12,2,7,30.985558
3,1971,12,2,8,32.433650
3,1971,12,2,9,33.823040
3,1971,12,2,10,35.114261
3,1971,12,2,11,36.083701
3,1971,12,2,12,36.803059
3,1971,12,2,13,37.689132
3,1971,12,2,14,38.450734
3,1971,12,2,15,39.412981
3,1971,12,2,16,40.328423
3,1971,12,2,17,41.810726
3,1971,12,2,18,43.354997
3,1971,12,2,19,45.086690
3,1971,12,2,20,46.621808
3,1971,12,2,21,47.839543
3,1971,12,2,22,48.667538
3,1971,12,2,23,49.155057
3,1971,12,3,0,49.323906
3,1971,12,3,1,49.204263
3,1971,12,3,2,48.964049
3,1971,12,3,3,48.756201
3,1971,12,3,4,48.671764
3,1971,12,3,5,48.788770
3,1971,12,3,6,49.042908
3,1971,12,3,7,49.285810
3,1971,12,3,8,49.330951
3,1971,12,3,9,49.243153
3,1971,12,3,10,49.680586
3,1971,12,3,11,53.939436
3,1971,12,3,12,61.733569
3,1971,12,3,13,86.156581
3,1971,12,3,14,117.577758
3,1971,12,3,15,157.186405
3,1971,12,3,16,198.828838
3,1971,12,3,17,240.237381
3,1971,12,3,18,278.179718
3,1971,12,3,19,307.506729
3,1971,12,3,20,324.820268
3,1971,12,3,21,330.554161
3,1971,12,3,22,327.129692
3,1971,12,3,23,317.363826
3,1971,12,4,0,303.477312
3,1971,12,4,1,288.155841
3,1971,12,4,2,273.694995
3,1971,12,4,3,261.059079
3,1971,12,4,4,249.929161
3,1971,12,4,5,239.828899
3,1971,12,4,6,230.309632
3,1971,12,4,7,222.035082
3,1971,12,4,8,216.220156
3,1971,12,4,9,213.539209
3,1971,12,4,10,212.842465
3,1971,12,4,11,212.735853
3,1971,12,4,12,213.396156
3,1971,12,4,13,216.217166
3,1971,12,4,14,220.516448
3,1971,12,4,15,224.175590
3,1971,12,4,16,225.740104
3,1971,12,4,17,224.908291
3,1971,12,4,18,221.868211
3,1971,12,4,19,216.853945
3,1971,12,4,20,210.138463
3,1971,12,4,21,202.035932
3,1971,12,4,22,192.914506
3,1971,12,4,23,183.179114
3,1971,12,5,0,173.223982
3,1971,12,5,1,163.385094
3,1971,12,5,2,153.911328
3,1971,12,5,3,144.959212
3,1971,12,5,4,136.605728
3,1971,12,5,5,128.869500
3,1971,12,5,6,121.732182
3,1971,12,5,7,115.155560
3,1971,12,5,8,109.093229
3,1971,12,5,9,103.497550
3,1971,12,5,10,98.323280
3,1971,12,5,11,93.529113
3,1971,12,5,12,89.078087
3,1971,12,5,13,84.937428
3,1971,12,5,14,81.078172
3,1971,12,5,15,77.474720
3,1971,12,5,16,74.104441
3,1971,12,5,17,70.947324
3,1971,12,5,18,67.985636
3,1971,12,5,19,65.203560
3,1971,12,5,20,62.608029
3,1971,12,5,21,61.573802
3,1971,12,5,22,61.065468
3,1971,12,5,23,61.528547
3,1971,12,6,0,62.034531
3,1971,12,6,1,62.277577
3,1971,12,6,2,62.405146
3,1971,12,6,3,62.532638
3,1971,12,6,4,62.616944
3,1971,12,6,5,62.496628
3,1971,12,6,6,62.055452
3,1971,12,6,7,61.264945
3,1971,12,6,8,60.182262
3,1971,12,6,9,58.863989
